Water,HEPES,Z2M246I,Au,Z2
99,72,32,0,75
153,35,6,32,52
129,75,0,0,75
87,64,53,0,75
129,0,75,0,75
169,72,0,0,38
33,75,21,75,75
204,0,75,0,0
205,0,74,0,0
93,7,75,75,29
228,18,20,0,12
54,75,0,75,75
82,75,75,0,47
6,57,69,71,75
89,70,47,72,0
80,62,13,75,49
129,75,0,75,0
129,0,0,75,75
129,0,0,75,75
101,15,75,68,20
164,0,0,40,75
129,75,0,0,75
120,9,28,75,47
164,65,0,49,0
121,0,57,39,61
143,41,37,37,21
111,60,33,0,75
111,29,0,64,74
146,15,50,18,49
130,0,74,74,0
136,30,60,36,15
130,74,75,0,0
119,75,2,40,43
111,0,75,74,18
279,0,0,0,0
183,0,0,45,51
121,27,39,16,75
129,75,0,0,75
127,2,74,0,75
145,0,0,59,75
118,44,18,62,37
204,0,0,75,0
204,0,0,74,0
278,1,0,0,0
149,50,0,74,5
204,0,0,0,75
279,0,0,0,0
191,4,26,35,23
43,75,75,30,56
126,75,17,40,21
129,75,0,0,75
63,51,59,59,46
199,0,0,75,5
130,74,0,0,75
84,62,19,48,65
118,24,45,63,28
219,0,9,51,0
192,1,75,8,3
114,55,4,39,66
165,24,72,5,12
129,74,75,0,0
108,75,0,74,22
169,35,75,0,0
158,75,10,7,29
204,75,0,0,0
130,75,74,0,0
116,0,74,13,75
133,25,26,71,23
166,0,70,43,0
99,28,67,55,29
137,0,56,10,75
151,74,25,3,25
204,0,75,0,0
172,1,0,31,75
187,0,0,19,73
163,0,41,0,75
277,2,0,0,0
129,74,74,0,0
129,0,75,0,75
115,31,62,69,2
141,27,17,32,62
129,0,75,75,0
204,0,0,75,0
81,0,75,75,48
129,75,75,0,0
199,0,0,58,22
