 ,Area,Mean,Min,Max,Angle,Length
1,13.932,147.735,0,255,49.063,30.029
2,4.608,149.535,112,203,-30.735,9.964
3,17.790,152.127,5,255,48.424,38.370
4,4.126,180.870,2,255,-40.764,8.863
5,14.843,139.646,114,225,56.195,32.037
6,4.180,158.013,126,237,-27.897,8.905
7,14.039,130.206,9,236,-70.875,30.381
8,4.180,147.692,128,214,14.744,9.096
9,14.414,112.045,83,183,70.489,31.189
10,4.823,118.122,87,180,-23.199,10.577
11,14.253,134.737,117,202,25.201,30.444
12,4.126,153.987,120,225,-53.427,8.935
13,11.092,112.261,85,172,6.096,23.978
14,5.787,128.806,105,223,-84.710,12.553
15,16.504,150.078,124,188,45.526,35.684
16,3.537,148.636,130,203,-41.348,7.709
17,13.610,125.122,107,209,49.790,29.402
18,5.090,133.232,106,202,-38.089,10.882
19,13.985,105.858,74,218,40.649,30.205
20,3.858,122.139,62,255,-46.123,8.349
21,14.360,117.664,92,158,45.603,31.101
22,4.501,130.310,98,222,-40.156,9.692
23,15.754,132.585,114,187,38.114,34.128
24,3.858,134.250,107,153,-49.399,8.537
25,12.217,136.399,109,170,39.611,26.141
26,4.072,149.434,124,203,-41.760,8.689
27,16.289,143.641,112,197,27.235,35.407
28,3.429,165.141,143,204,-63.435,8.282
29,14.146,102.076,72,198,-31.636,30.451
30,4.501,109.786,69,233,51.340,10.375
31,13.717,124.852,99,186,-36.158,29.817
32,4.233,141.190,109,207,47.045,9.172
33,14.039,143.168,112,198,42.215,30.317
34,4.447,147.120,124,197,-48.945,9.516
35,13.503,105.663,74,175,42.709,28.667
36,3.215,112.050,86,153,135.000,6.547
37,15.432,110.507,80,213,41.336,33.296
38,4.715,121.568,90,156,138.814,9.843
39,14.736,116.644,93,174,40.285,31.862
40,4.555,112.776,73,221,136.909,9.826
41,12.860,127.333,104,196,45.674,27.828
42,4.876,133.725,106,227,133.210,10.481
43,11.360,139.887,83,202,83.541,24.694
44,3.108,170.138,128,237,176.055,6.729
45,13.878,150.178,93,208,110.400,29.884
46,3.858,127.542,94,211,22.989,8.298
47,18.004,138.351,108,192,71.565,35.136
48,3.751,146.643,124,178,-18.435,7.320
49,12.324,141.365,112,173,68.199,28.671
50,4.394,144.988,127,174,167.320,9.491
51,11.360,128.146,82,204,-3.778,24.590
52,3.858,132.611,89,234,-94.764,8.362
53,13.610,76.157,46,148,48.517,29.354
54,4.447,103.506,59,166,142.853,9.583
55,15.432,110.420,65,181,-112.989,33.192
56,4.501,127.869,87,204,-18.004,9.736
57,13.289,72.399,38,210,68.369,28.886
58,4.126,96.026,51,235,168.690,8.262
59,11.788,125.918,102,171,8.351,25.502
60,4.394,132.573,112,191,98.326,9.592
61,15.539,113.017,83,211,47.514,33.587
62,4.394,113.793,86,186,142.001,9.400
63,15.861,106.416,74,157,44.454,34.375
64,3.858,107.958,50,196,-48.366,8.362
65,14.146,120.670,48,183,56.430,30.560
66,3.804,77.704,31,219,151.260,8.184
67,15.003,115.511,53,153,-109.599,32.435
68,3.751,129.286,75,175,-14.826,8.141
69,15.379,116.916,67,220,-106.661,33.103
70,4.555,120.141,95,158,-15.018,9.826
71,15.486,84.595,49,221,47.806,33.431
72,4.823,91.244,57,194,-40.462,10.344
73,14.789,99.127,81,143,-115.821,31.887
74,4.287,119.400,94,184,156.615,9.331
75,13.503,89.615,62,128,39.226,29.284
76,4.930,109.554,74,186,-47.643,10.651
77,14.575,104.629,45,145,-108.970,31.331
78,4.394,124.073,65,217,-9.926,9.400
79,14.253,113.977,84,132,27.337,30.749
80,4.072,125.039,102,189,123.275,8.860
81,14.950,84.337,64,118,27.854,32.203
82,4.769,102.124,63,226,-55.954,10.337
83,15.539,96.141,69,145,74.434,33.641
84,4.930,100.902,68,191,-12.804,10.445
85,14.789,49.536,6,195,-52.125,31.672
86,5.037,59.351,17,211,34.380,10.658
87,12.967,95.459,41,161,6.183,27.940
88,4.019,120.507,99,166,-85.365,8.593
89,15.218,93.634,36,178,18.052,32.868
90,4.608,115.419,98,146,115.346,9.733
91,12.539,98.107,81,122,-104.744,27.287
92,5.466,116.088,81,195,-13.241,12.128
93,13.610,96.894,74,178,18.293,29.500
94,4.823,101.389,84,152,112.036,10.488
95,13.932,70.104,45,187,61.390,29.005
96,3.858,74.139,51,199,152.021,8.388
97,12.110,93.872,72,128,-115.659,26.194
98,5.358,108.420,71,179,-23.499,11.611
99,12.539,108.936,82,175,41.878,27.048
100,4.287,120.250,95,178,-39.987,9.366
101,7.287,77.801,53,137,92.526,15.756
102,3.215,103.433,59,214,0.000,6.944
103,14.146,75.894,54,139,-3.036,30.598
104,3.804,91.887,66,183,85.101,8.132
105,14.575,78.000,48,193,-15.366,31.448
