 ,Area,Mean,Min,Max,Angle,Length
1,22.493,89.720,9,203,62.949,42.106
2,6.366,68.589,7,195,-22.036,12.051
3,8.417,119.748,86,162,73.393,15.819
4,9.125,120.194,85,148,-11.659,17.108
5,10.398,110.163,65,249,48.302,19.591
6,4.315,125.902,85,175,145.784,8.041
7,11.530,149.104,120,220,76.477,21.610
8,10.964,124.329,85,163,-6.667,20.618
9,8.983,119.614,99,203,56.560,16.892
10,4.810,136.118,85,207,-29.539,9.171
11,11.883,74.286,55,145,-33.690,20.137
12,3.961,80.554,55,115,55.176,7.452
13,6.366,109.489,86,190,-42.274,11.861
14,3.537,106.200,85,128,46.637,6.585
15,11.317,121.088,97,188,-39.987,21.521
16,5.588,124.266,85,178,47.045,10.538
17,18.957,32.642,0,255,-76.171,35.607
18,5.093,62.250,19,161,20.925,9.681
19,13.227,117.968,65,144,30.964,26.363
20,4.739,139.642,85,230,-54.866,8.781
21,17.683,104.388,31,163,43.363,32.924
22,5.093,145.931,85,174,133.877,9.593
23,15.703,82.468,37,106,45.000,27.833
24,4.668,105.121,72,177,138.652,8.857
25,14.430,113.010,82,175,84.958,27.233
26,4.527,125.609,85,180,-1.790,8.515
27,15.278,131.505,74,182,-52.815,29.043
28,4.244,141.167,85,203,38.660,8.515
29,14.147,91.000,44,191,130.101,26.425
30,5.871,82.265,43,140,41.055,10.933
31,17.259,101.164,49,199,140.677,32.317
32,4.103,94.000,63,145,49.185,7.731
33,15.137,67.561,9,223,140.673,28.537
34,4.951,60.214,14,222,49.764,9.058
35,13.439,132.826,109,236,52.284,25.216
36,4.810,132.985,85,193,147.265,8.853
37,16.976,107.954,83,238,123.024,31.720
38,4.810,115.000,85,160,31.827,9.078
39,12.803,111.713,86,151,116.847,24.145
40,4.032,125.018,85,205,27.474,7.494
41,11.034,132.615,104,173,-76.675,20.772
42,4.668,136.227,85,165,11.310,8.137
43,20.371,47.226,9,156,-41.898,38.232
44,5.942,72.726,37,202,47.911,11.110
45,14.995,81.755,18,196,-56.908,28.253
46,5.093,103.806,83,180,32.347,9.444
47,14.995,94.642,75,169,123.840,28.178
48,4.385,96.581,82,130,35.754,8.193
49,11.034,123.494,107,142,62.447,20.699
50,4.244,133.817,85,202,158.199,8.593
51,15.774,118.143,91,195,58.158,29.742
52,5.517,119.923,85,170,152.784,10.467
53,19.805,85.582,66,122,-92.045,37.258
54,5.659,91.237,68,200,-1.432,10.642
55,17.259,101.139,55,193,100.389,32.447
56,5.376,118.776,85,199,7.496,10.193
57,19.664,93.068,0,238,-47.035,37.071
58,5.093,116.889,85,155,45.000,9.027
59,15.278,74.611,46,135,116.328,28.784
60,6.507,101.685,78,190,25.463,12.372
61,15.137,105.584,77,168,39.327,28.537
62,6.012,116.400,85,187,136.909,11.290
63,11.530,119.393,101,134,63.122,21.766
64,3.537,126.740,85,178,156.501,6.670
65,11.388,116.075,93,180,-47.010,21.452
66,3.395,123.604,85,165,39.806,6.232
67,22.918,93.481,71,167,42.749,43.099
68,8.771,109.492,73,189,-44.341,16.362
69,19.381,123.960,97,157,-42.330,36.335
70,5.234,143.554,85,222,46.081,9.969
71,15.561,72.186,36,185,-40.206,29.252
72,5.517,71.615,46,196,49.086,10.558
73,12.378,67.503,24,176,45.924,23.323
74,5.517,69.782,37,191,142.253,10.427
75,14.288,84.594,66,120,-46.591,27.091
76,4.668,91.591,69,174,48.652,8.857
77,17.047,113.000,89,131,-46.348,31.979
78,4.951,113.671,85,166,41.496,9.232
79,19.664,111.270,86,162,128.019,37.135
80,4.244,114.117,85,175,42.274,7.907
81,14.217,114.711,92,163,105.555,26.779
82,5.446,122.844,85,196,18.435,9.251
83,20.371,65.538,16,114,-46.123,38.372
84,6.578,96.849,66,176,45.000,11.660
85,15.208,84.688,43,183,-47.261,28.607
86,4.951,78.543,57,194,41.496,9.232
87,11.317,104.062,14,255,18.208,21.278
88,4.810,114.544,85,184,-63.435,10.110
89,9.903,87.443,54,180,50.826,18.526
90,5.093,113.194,51,244,-30.141,9.534
91,18.532,102.912,64,207,-40.980,34.877
92,5.234,117.892,67,253,46.081,9.969
93,13.864,97.663,76,171,-48.705,26.195
94,4.032,104.947,72,195,36.469,7.607
95,16.127,92.592,70,151,-49.616,30.376
96,4.244,89.350,77,126,41.009,8.106
97,16.552,56.885,22,141,136.042,31.035
98,5.517,56.449,37,93,41.987,10.734
99,16.835,87.958,63,126,-34.359,31.573
100,5.588,96.924,75,182,47.045,10.538
101,18.957,101.743,66,149,140.140,35.687
