CTAB,Water,GCH,AA,SN,GS
416,457,256,22,45,104
416,486,256,38,0,104
416,356,256,84,84,104
416,322,256,67,135,104
416,422,256,51,51,104
416,423,256,84,17,104
416,448,256,76,0,104
416,279,256,135,110,104
416,412,256,45,67,104
416,342,256,38,144,104
416,480,256,22,22,104
416,356,256,129,39,104
416,356,256,54,114,104
416,412,256,67,45,104
416,395,256,45,84,104
416,465,256,56,3,104
416,383,256,36,105,104
416,372,256,0,152,104
416,448,256,0,76,104
416,334,256,152,38,104
416,296,256,76,152,104
416,390,256,67,67,104
416,372,256,51,101,104
416,342,256,144,38,104
416,477,256,40,7,104
416,434,256,60,30,104
416,356,256,39,129,104
416,497,256,20,7,104
416,486,256,0,38,104
416,430,256,28,66,104
416,383,256,19,122,104
416,220,256,152,152,104
416,397,256,37,90,104
416,322,256,101,101,104
416,477,256,7,40,104
416,423,256,17,84,104
416,457,256,45,22,104
416,334,256,38,152,104
416,372,256,101,51,104
416,322,256,135,67,104
416,524,256,0,0,104
416,372,256,152,0,104
416,339,256,73,112,104
416,266,256,146,112,104
416,279,256,110,135,104
416,296,256,152,76,104
416,446,256,39,39,104
416,460,256,54,10,104
