CTAB,Water,GCH,AA,SN,GS
96,89,59,7,25,24
96,81,59,28,12,24
96,106,59,13,2,24
96,68,59,22,31,24
96,77,59,17,27,24
96,97,59,18,6,24
96,101,59,3,17,24
96,68,59,33,20,24
96,93,59,9,19,24
96,81,59,26,14,24
96,108,59,6,7,24
96,62,59,29,30,24
96,116,59,2,3,24
96,69,59,24,28,24
96,91,59,24,6,24
96,84,59,12,25,24
96,94,59,7,20,24
96,92,59,23,6,24
96,115,59,1,5,24
96,66,59,23,32,24
96,84,59,6,31,24
96,85,59,24,12,24
96,90,59,27,4,24
96,88,59,29,4,24
96,97,59,20,4,24
96,73,59,18,30,24
96,91,59,0,30,24
96,112,59,0,9,24
96,85,59,31,5,24
96,87,59,33,1,24
96,79,59,33,9,24
96,107,59,11,3,24
96,106,59,11,4,24
96,87,59,0,34,24
96,103,59,12,6,24
96,86,59,33,2,24
96,99,59,21,1,24
96,81,59,25,15,24
96,74,59,35,12,24
96,92,59,29,0,24
96,71,59,20,30,24
96,99,59,22,0,24
96,67,59,34,20,24
96,75,59,32,14,24
96,87,59,25,9,24
96,77,59,28,16,24
96,80,59,14,27,24
96,114,59,5,2,24
96,87,59,17,17,24
96,69,59,30,22,24
96,93,59,5,23,24
96,90,59,11,20,24
96,83,59,19,19,24
96,98,59,4,19,24
96,58,59,35,28,24
96,81,59,22,18,24
96,73,59,29,19,24
96,83,59,28,10,24
96,83,59,20,18,24
96,68,59,29,24,24
96,87,59,15,19,24
96,62,59,28,31,24
96,90,59,8,23,24
96,97,59,9,15,24
96,89,59,14,18,24
96,90,59,16,15,24
96,70,59,26,25,24
96,98,59,10,13,24
96,85,59,22,14,24
96,91,59,10,20,24
96,81,59,22,18,24
96,115,59,6,0,24
96,86,59,34,1,24
96,82,59,18,21,24
96,98,59,2,21,24
96,99,59,18,4,24
96,95,59,14,12,24
96,86,59,23,12,24
96,75,59,25,21,24
96,87,59,17,17,24
96,79,59,20,22,24
96,73,59,31,17,24
96,81,59,23,17,24
96,83,59,6,32,24
96,108,59,2,11,24
96,90,59,21,10,24
96,111,59,2,8,24
96,73,59,25,23,24
96,94,59,11,16,24
96,109,59,3,9,24
