CTAB,Water,GCH,AA,SN,GS
96,121,59,0,0,24
96,118,59,0,3,24
96,115,59,0,6,24
96,111,59,0,10,24
96,108,59,0,13,24
96,105,59,0,16,24
96,102,59,0,19,24
96,99,59,0,22,24
96,96,59,0,25,24
96,92,59,0,29,24
96,89,59,0,32,24
96,86,59,0,35,24
96,116,59,5,0,24
96,113,59,5,3,24
96,110,59,5,6,24
96,106,59,5,10,24
96,103,59,5,13,24
96,100,59,5,16,24
96,97,59,5,19,24
96,94,59,5,22,24
96,91,59,5,25,24
96,87,59,5,29,24
96,84,59,5,32,24
96,81,59,5,35,24
96,111,59,10,0,24
96,108,59,10,3,24
96,105,59,10,6,24
96,101,59,10,10,24
96,98,59,10,13,24
96,95,59,10,16,24
96,92,59,10,19,24
96,89,59,10,22,24
96,86,59,10,25,24
96,82,59,10,29,24
96,79,59,10,32,24
96,76,59,10,35,24
96,106,59,15,0,24
96,103,59,15,3,24
96,100,59,15,6,24
96,96,59,15,10,24
96,93,59,15,13,24
96,90,59,15,16,24
96,87,59,15,19,24
96,84,59,15,22,24
96,81,59,15,25,24
96,77,59,15,29,24
96,74,59,15,32,24
96,71,59,15,35,24
96,101,59,20,0,24
96,98,59,20,3,24
96,95,59,20,6,24
96,91,59,20,10,24
96,88,59,20,13,24
96,85,59,20,16,24
96,82,59,20,19,24
96,79,59,20,22,24
96,76,59,20,25,24
96,72,59,20,29,24
96,69,59,20,32,24
96,66,59,20,35,24
96,96,59,25,0,24
96,93,59,25,3,24
96,90,59,25,6,24
96,86,59,25,10,24
96,83,59,25,13,24
96,80,59,25,16,24
96,77,59,25,19,24
96,74,59,25,22,24
96,71,59,25,25,24
96,67,59,25,29,24
96,64,59,25,32,24
96,61,59,25,35,24
96,91,59,30,0,24
96,88,59,30,3,24
96,85,59,30,6,24
96,81,59,30,10,24
96,78,59,30,13,24
96,75,59,30,16,24
96,72,59,30,19,24
96,69,59,30,22,24
96,66,59,30,25,24
96,62,59,30,29,24
96,59,59,30,32,24
96,56,59,30,35,24
96,86,59,35,0,24
96,83,59,35,3,24
96,80,59,35,6,24
96,76,59,35,10,24
96,73,59,35,13,24
96,70,59,35,16,24
96,67,59,35,19,24
96,64,59,35,22,24
96,61,59,35,25,24
96,57,59,35,29,24
96,54,59,35,32,24
96,51,59,35,35,24
