Water,HEPES,Z2M246I,Au,Z2
123,54,87,13,3
76,54,87,13,50
53,54,87,13,73
100,54,87,13,26
88,54,87,13,38
47,54,87,13,79
66,54,87,13,60
108,54,87,13,18
112,54,87,13,14
66,54,87,13,60
42,54,87,13,84
88,54,87,13,38
98,54,87,13,28
57,54,87,13,69
78,54,87,13,48
119,54,87,13,7
117,54,87,13,9
82,54,87,13,44
59,54,87,13,67
94,54,87,13,32
93,54,87,13,33
41,54,87,13,85
61,54,87,13,65
113,54,87,13,13
126,54,87,13,0
39,54,87,13,87
100,54,87,13,26
96,54,87,13,30
62,54,87,13,64
56,54,87,13,70
39,54,87,13,87
82,54,87,13,44
126,54,87,13,0
69,54,87,13,57
81,54,87,13,45
106,54,87,13,20
58,54,87,13,68
72,54,87,13,54
74,54,87,13,52
97,54,87,13,29
67,54,87,13,59
87,54,87,13,39
103,54,87,13,23
113,54,87,13,13
39,54,87,13,87
99,54,87,13,27
120,54,87,13,6
104,54,87,13,22
126,54,87,13,0
126,54,87,13,0
83,54,87,13,43
39,54,87,13,87
126,54,87,13,0
39,54,87,13,87
126,54,87,13,0
39,54,87,13,87
64,54,87,13,62
86,54,87,13,40
65,54,87,13,61
51,54,87,13,75
124,54,87,13,2
55,54,87,13,71
52,54,87,13,74
49,54,87,13,77
39,54,87,13,87
96,54,87,13,30
124,54,87,13,2
62,54,87,13,64
115,54,87,13,11
82,54,87,13,44
48,54,87,13,78
126,54,87,13,0
89,54,87,13,37
56,54,87,13,70
66,54,87,13,60
106,54,87,13,20
94,54,87,13,32
67,54,87,13,59
100,54,87,13,26
75,54,87,13,51
