Water,HEPES,Z2M246I,Au,Z2
160,16,21,51,31
92,43,63,7,73
141,19,3,74,41
141,65,44,21,7
130,33,74,31,10
70,61,31,64,52
148,1,55,17,57
152,48,13,41,24
127,24,50,58,19
93,72,18,33,62
108,9,70,44,48
181,38,36,9,14
264,5,7,0,2
88,51,40,53,46
130,29,26,24,69
60,57,59,67,35
185,31,14,14,34
68,59,46,39,66
166,8,33,28,43
94,55,66,62,1
139,13,38,71,17
161,42,6,19,50
83,26,58,48,64
153,73,24,5,22
161,2,63,26,27
80,50,20,70,59
142,36,43,2,54
143,65,2,56,13
175,23,28,46,6
89,69,71,12,38
120,17,10,60,71
118,44,52,36,29
155,20,69,5,29
57,66,35,47,72
155,15,49,20,40
143,42,17,71,6
177,0,27,61,13
85,47,60,30,56
137,34,9,37,61
133,62,41,15,27
205,10,4,36,23
70,39,45,59,65
169,23,22,13,51
80,71,65,45,18
141,28,54,54,2
162,56,12,4,44
65,6,73,68,67
134,53,30,27,34
151,7,42,40,37
137,54,1,17,69
75,32,61,64,46
163,60,19,31,5
202,27,11,23,16
30,74,53,72,48
167,11,29,8,62
95,40,72,49,21
118,35,34,66,25
65,64,67,24,58
154,4,15,52,53
167,51,48,1,11
183,18,57,11,9
126,45,23,42,42
111,22,37,34,74
118,68,5,56,32
147,34,40,25,32
69,62,7,66,75
176,0,58,1,42
146,47,26,52,8
193,14,17,43,11
120,43,51,10,54
106,19,37,57,59
83,67,69,34,25
